name,address,city,latitude,longitude,source
91,,,44.671428,-72.132994,Zien
[Dartmouth] Green,1 East Wheelock St,"Hanover, NH",43.703416,-72.288561,Kendall
[East] River,,"New York, NY",40.781189,-73.902446,Hodes
[National] Route 9,,,16.788109,106.871461,Lovely
[Second College] Grant,,,44.5454,-71.0647,Lovely
14th Street,,"New York, NY",40.731372,-73.98257,Hodes
23rd Street,,"New York, NY",40.745363,-73.998453,Hodes
2nd District in New Hampshire,,,43.874035,-71.892006,Hodes
390 First Avenue,390 First Avenue,"New York, NY",40.736427,-73.977909,Hodes
74th Street and Central Park West,,"New York, NY",40.777559,-73.974995,Hodes
ÄÃ´ng HÃ ,,Dong Ha,16.8089,107.0894,Lovely
Afghanistan,,,33.939593,67.709967,Kendall
Äiá»‡n BiÃªn Phá»§,,Dien Bien Phu,21.4064,103.0322,Lovely
Alaska,,,63.1741142,-153.7042694,Rutter
"Albany,Vermont",,"Albany, VT",44.740293,-72.34302,Zien
America,,,39.631537,-100.77659,Hodes
American,,,38.889529,-77.009305,Zien
Arlington National Cemetery,,"Arlington, VA",38.8783,-77.06866,Zien
Aruba,,,32.66512,-114.51508,Rutter
Athens,,"Athens, Georgia",33.97017,-83.38426,Rutter
Bahamas,,,33.6436,-117.64028,Rutter
Baker-Berry Library,6025 Baker-Berry Library,"Hanover, NH",43.7024689,-72.2885437,Rutter
Bay of Naples,,Naples,40.7209854,14.2923613,Rutter
Belgium,,,50.504433,4.470108,Kendall
"Berkeley, California",,"Berkeley, CA",37.871223,-122.272941,Hodes
Boston,,"Boston, MA",42.359814,-71.058755,Hodes
Bowdoin College,,"Brunswick, ME",43.9077,-69.964,Lovely
Bremen [Germany],,"Bremen, Germany",53.0750999,8.8046904,Kendall
Brooklyn,,,40.678026,-73.944619,Hodes
"Brunswick, Maine",,"Brunswick, ME",43.914,-69.967,Lovely
Bryn Mawr,101 N Merion Avenue,"Bryn Mawr, PA",40.027582,-75.315186,Rutter
Bushwick,,"New York, NY",40.695748,-73.916872,Hodes
Calcutta,,"Kolkata, India",22.5705395,88.3712387,Kendall
Cam Ranh,,Phan Rang,11.92474,109.16332,Rutter
"Cam Ranh Bay [sic; Cam Ranh Air Base, now Cam Ranh International Airport]",,Phan Rang,11.562686,108.9947739,Rutter
Cam Ranh Bay Airport,,Phan Rang,11.562686,108.9947739,Rutter
Cambridge [England],,Cambridge,52.218956,0.123413,Strauss
Canaan,,"Canaan, NH",43.677204,-72.045856,Zien
Canada,,,57.679315,-101.736004,Hodes
Candlestick Park,602 Jamestown Ave,"San Francisco, CA",37.7134705,-122.386116,Kendall
Cape [Cape Cod],,,41.6688,-70.2962,Lovely
Cape Town,,Cape Town,-33.929904,18.463369,Strauss
Cape Town University,Rondebosch 7700,Cape Town,-33.9638786,18.4761791,Strauss
Central Park West,,"New York, NY",40.784636,-73.969822,Hodes
Chi Phi,,"Hanover, NH",43.7022,-72.2896,Lovely
Chicago,,"Chicago, IL",41.877702,-87.629009,Hodes
China,,,34.462241,103.796769,Hodes
Chu Lai,,"Chu Lai, Vietnam",15.993291,108.255581,Kendall
Chu Lai Air Base,,"Chu Lai, Vietnam",15.4146099,108.7039719,Kendall
Chu Lai Airport [sic; Air Base],,"Chu Lai, Vietnam",15.4146099,108.7039719,Kendall
Colby,,"New London, NH",43.4121,-71.978,Lovely
"Colby [Junior College, now Colby-Sawyer College]",,"New London, NH",43.4121,-71.978,Lovely
College Hall,,"Hanover, NH",43.7022,-72.2896,Lovely
Colorado,,Colorado,39.56823,-105.783779,Kendall
Colorado River,,,34.261396,-114.130034,Kendall
Columbia,,"New York, NY",40.807535,-73.962605,Hodes
Commons or something [the Class of 1953 Commons],6 Mass Row,"Hanover, NH",43.703192,-72.290462,Kendall
Concord,,"Concord, NH",43.206626,-71.533489,Hodes
"Concord, New Hampshire",,"Concord, NH",43.209125,-71.535861,Hodes
CRREL,72 Lyme Rd,"Hanover, NH",43.7241057,-72.2732507,Hodes
Cuba,,,21.66362,-78.909894,Hodes
D.C.,,Washington,38.909611,-77.043869,Strauss
Da Nang,,"Đà Nang, Vietnam",16.0479698,108.2107086,Kendall
Dartmouth College,,"Hanover, NH",43.704425,-72.288704,Hodes
Delaware,,,39.0081291,-75.4674683,Rutter
Denver,,"Denver, CO",39.7400093,-104.9920197,Kendall
Dĩ An,,Saigon,10.8219604,106.6400375,Rutter
Disneyland,,"Anaheim, CA",33.812056,-117.918985,Zien
DMZ [Demilitarized Zone],,,17,106,Lovely
"Dorchester, Massachusetts",,"Dorchester, MA",42.3016,-71.0676,Lovely
